Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Life expectancy"
"Senegal","Africa","SEN","National","SENt","Total",0.511,67.09
"Serbia","Europe","SRB","National","SRBt","Total",0.802,74.19
"Sierra Leone","Africa","SLE","National","SLEt","Total",0.477,60.06
"Singapore","Asia/Pacific","SGP","National","SGPt","Total",0.939,82.76
"Slovakia","Europe","SVK","National","SVKt","Total",0.848,74.91
"Slovenia","Europe","SVN","National","SVNt","Total",0.918,80.69
"Solomon Islands","Asia/Pacific","SLB","National","SLBt","Total",0.564,70.35
"Somalia","Africa","SOM","National","SOMt","Total",0.361,54.40
"South Africa","Africa","ZAF","National","ZAFt","Total",0.713,62.34
"South Korea","Asia/Pacific","KOR","National","KORt","Total",0.925,83.70
"South Sudan","Africa","SSD","National","SSDt","Total",0.385,54.98
"Spain","Europe","ESP","National","ESPt","Total",0.905,83.01
"Sri Lanka","Asia/Pacific","LKA","National","LKAt","Total",0.782,76.40
"Sudan","Africa","SDN","National","SDNt","Total",0.508,65.27
"Suriname","America","SUR","National","SURt","Total",0.730,70.27
"Sweden","Europe","SWE","National","SWEt","Total",0.947,82.98
"Switzerland","Europe","CHE","National","CHEt","Total",0.962,83.99
"Syria","Asia/Pacific","SYR","National","SYRt","Total",0.577,72.06
"Tajikistan","Asia/Pacific","TJK","National","TJKt","Total",0.685,71.59
"Tanzania","Africa","TZA","National","TZAt","Total",0.549,66.20
"Thailand","Asia/Pacific","THA","National","THAt","Total",0.800,78.72
"Timor Leste","Asia/Pacific","TLS","National","TLSt","Total",0.607,67.74
"Togo","Africa","TGO","National","TGOt","Total",0.539,61.62
"Tonga","Asia/Pacific","TON","National","TONt","Total",0.745,70.99
"Trinidad & Tobago","America","TTO","National","TTOt","Total",0.810,72.97
"Tunisia","Africa","TUN","National","TUNt","Total",0.731,73.77
"Turkey","Asia/Pacific","TUR","National","TURt","Total",0.838,76.03
"Turkmenistan","Asia/Pacific","TKM","National","TKMt","Total",0.745,69.26
"Tuvalu","Asia/Pacific","TUV","National","TUVt","Total",0.641,64.55
"Uganda","Africa","UGA","National","UGAt","Total",0.525,62.71
"Ukraine","Europe","UKR","National","UKRt","Total",0.773,71.62
