Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Expected years schooling"
"Philippines","Asia/Pacific","PHL","National","PHLt","Total",0.699,13.13
"Poland","Europe","POL","National","POLt","Total",0.876,16.03
"Portugal","Europe","PRT","National","PRTt","Total",0.866,16.87
"Qatar","Asia/Pacific","QAT","National","QATt","Total",0.855,12.64
"Romania","Europe","ROU","National","ROUt","Total",0.821,14.23
"Russian Federation","Europe","RUS","National","RUSt","Total",0.822,15.77
"Rwanda","Africa","RWA","National","RWAt","Total",0.534,11.23
"Saint Kitts and Nevis","America","KNA","National","KNAt","Total",0.777,15.43
"Saint Lucia","America","LCA","National","LCAt","Total",0.715,12.87
"Saint Vincent and the Grenadines","America","VCT","National","VCTt","Total",0.751,14.67
"Samoa","Asia/Pacific","WSM","National","WSMt","Total",0.707,12.42
"Sao Tome & Principe","Africa","STP","National","STPt","Total",0.618,13.37
"Saudi Arabia","Asia/Pacific","SAU","National","SAUt","Total",0.875,16.14
"Senegal","Africa","SEN","National","SENt","Total",0.511,8.964
"Serbia","Europe","SRB","National","SRBt","Total",0.802,14.40
"Sierra Leone","Africa","SLE","National","SLEt","Total",0.477,9.573
"Singapore","Asia/Pacific","SGP","National","SGPt","Total",0.939,16.52
"Slovakia","Europe","SVK","National","SVKt","Total",0.848,14.51
"Slovenia","Europe","SVN","National","SVNt","Total",0.918,17.66
"Solomon Islands","Asia/Pacific","SLB","National","SLBt","Total",0.564,10.33
"Somalia","Africa","SOM","National","SOMt","Total",0.361,1.940
"South Africa","Africa","ZAF","National","ZAFt","Total",0.713,13.64
"South Korea","Asia/Pacific","KOR","National","KORt","Total",0.925,16.52
"South Sudan","Africa","SSD","National","SSDt","Total",0.385,5.543
"Spain","Europe","ESP","National","ESPt","Total",0.905,17.92
"Sri Lanka","Asia/Pacific","LKA","National","LKAt","Total",0.782,14.14
"Sudan","Africa","SDN","National","SDNt","Total",0.508,7.945
"Suriname","America","SUR","National","SURt","Total",0.730,13.04
"Sweden","Europe","SWE","National","SWEt","Total",0.947,18.00
"Switzerland","Europe","CHE","National","CHEt","Total",0.962,16.50
"Syria","Asia/Pacific","SYR","National","SYRt","Total",0.577,9.164
"Tajikistan","Asia/Pacific","TJK","National","TJKt","Total",0.685,11.65
"Tanzania","Africa","TZA","National","TZAt","Total",0.549,9.221
"Thailand","Asia/Pacific","THA","National","THAt","Total",0.800,15.88
"Timor Leste","Asia/Pacific","TLS","National","TLSt","Total",0.607,12.62
"Togo","Africa","TGO","National","TGOt","Total",0.539,12.95
"Tonga","Asia/Pacific","TON","National","TONt","Total",0.745,16.05
"Trinidad & Tobago","America","TTO","National","TTOt","Total",0.810,14.54
"Tunisia","Africa","TUN","National","TUNt","Total",0.731,15.43
"Turkey","Asia/Pacific","TUR","National","TURt","Total",0.838,18.00
"Turkmenistan","Asia/Pacific","TKM","National","TKMt","Total",0.745,13.21
"Tuvalu","Asia/Pacific","TUV","National","TUVt","Total",0.641,9.404
"Uganda","Africa","UGA","National","UGAt","Total",0.525,10.15
"Ukraine","Europe","UKR","National","UKRt","Total",0.773,14.96
"United Arab Emirates","Asia/Pacific","ARE","National","AREt","Total",0.911,15.72
"United Kingdom","Europe","GBR","National","GBRt","Total",0.929,17.31
"United States","America","USA","National","USAt","Total",0.921,16.28
"Uruguay","America","URY","National","URYt","Total",0.809,16.83
"Uzbekistan","Asia/Pacific","UZB","National","UZBt","Total",0.727,12.48
"Vanuatu","Asia/Pacific","VUT","National","VUTt","Total",0.607,11.54
"Venezuela","America","VEN","National","VENt","Total",0.691,12.82
"Vietnam","Asia/Pacific","VNM","National","VNMt","Total",0.703,12.95
"Yemen","Asia/Pacific","YEM","National","YEMt","Total",0.455,9.099
"Zambia","Africa","ZMB","National","ZMBt","Total",0.565,10.93
"Zimbabwe","Africa","ZWE","National","ZWEt","Total",0.593,12.11
